MemberPaymentID,MemberID,Date,Amount,Processed
1,82,2020-01-14,976.28,False
2,58,2018-11-28,639.05,True
3,8,2019-09-02,555.63,True
4,37,2019-06-25,389.78,False
5,28,2018-06-29,537.92,True
6,66,2017-06-01,663.46,False
7,59,2017-04-23,248.70,False
8,71,2017-08-19,702.57,True
9,11,2018-08-06,872.35,True
10,16,2017-08-15,304.77,True
11,71,2018-12-01,884.08,True
12,20,2017-08-02,938.13,True
13,100,2018-02-12,317.28,True
14,85,2017-08-19,416.21,True
15,94,2020-02-09,483.92,True
16,11,2018-12-27,578.20,False
17,4,2018-12-02,645.79,False
18,85,2017-09-10,435.70,False
19,65,2019-03-08,994.06,True
20,99,2017-10-21,646.66,True
21,86,2020-03-15,950.48,False
22,29,2019-02-26,614.09,True
23,5,2017-05-11,336.66,False
24,60,2019-06-16,900.06,False
25,33,2019-01-16,807.96,True
26,12,2018-12-01,996.56,True
27,48,2017-09-09,727.29,False
28,82,2018-08-15,106.52,False
29,81,2018-03-04,558.86,False
30,26,2019-04-26,879.91,False
31,80,2018-04-22,822.37,False
32,33,2019-03-16,161.14,True
33,88,2017-08-12,671.64,True
34,31,2019-07-11,871.84,False
35,25,2019-09-18,957.07,True
36,64,2017-10-07,114.97,False
37,70,2017-06-08,929.81,True
38,73,2018-12-06,894.66,True
39,5,2020-02-05,401.74,False
40,89,2017-10-14,299.87,True
41,26,2019-10-23,800.29,True
42,85,2017-07-28,457.15,False
43,13,2019-04-17,577.52,True
44,4,2019-08-20,568.72,False
45,35,2018-10-13,703.02,True
46,91,2018-11-30,891.16,True
47,57,2017-10-06,668.44,False
48,5,2018-02-01,879.42,False
49,64,2018-04-08,806.27,False
50,47,2019-06-27,340.01,True
51,62,2018-07-23,626.93,True
52,75,2018-09-29,388.76,False
53,1,2017-11-18,469.63,True
54,19,2018-08-17,894.41,True
55,60,2018-01-16,210.33,True
56,70,2018-01-08,895.44,True
57,69,2019-09-06,359.99,False
58,55,2017-11-05,803.39,True
59,41,2018-02-11,147.16,True
60,59,2018-01-21,272.40,False
61,51,2019-11-24,206.53,False
62,58,2017-05-16,787.00,False
63,93,2020-01-17,790.28,True
64,80,2019-10-01,319.15,True
65,79,2020-01-28,328.91,True
66,97,2017-08-26,269.40,False
67,53,2019-10-29,271.50,True
68,78,2017-11-09,868.42,False
69,82,2017-08-18,186.78,False
70,4,2019-12-13,943.78,False
71,53,2019-06-29,833.36,True
72,5,2018-10-08,886.21,True
73,67,2018-05-09,968.27,True
74,42,2019-02-28,898.14,False
75,35,2019-07-25,907.91,True
76,55,2019-12-03,408.05,True
77,22,2018-03-23,243.14,True
78,79,2017-06-28,506.95,True
79,63,2018-07-02,933.89,False
80,63,2018-12-12,282.66,False
81,87,2019-11-12,954.65,True
82,45,2018-10-10,229.65,True
83,25,2017-05-22,487.96,False
84,83,2018-01-03,957.96,True
85,98,2018-07-03,222.38,False
86,33,2020-02-10,173.93,True
87,58,2020-02-28,980.31,True
88,68,2019-09-06,386.52,True
89,64,2018-10-14,811.29,True
90,10,2017-05-26,219.37,False
91,23,2020-03-17,550.18,False
92,46,2019-07-31,416.74,False
93,51,2018-12-25,706.05,True
94,71,2019-10-12,486.43,True
95,67,2020-02-03,821.25,False
96,86,2018-02-10,211.84,False
97,70,2018-03-17,249.41,True
98,79,2019-03-10,740.74,False
99,91,2019-04-25,872.94,True
100,53,2018-08-14,775.55,False